id,name,unique_name,ipl_debut,specialization,date_of_birth,matches,nationality
172dff15,C Bosch,C Bosch,,,,,
d8cd0b9b,,C Brits,,,,,
4751caa3,,CBRLS Kumara,,,,,
469ccead,CB Sole,CB Sole,,,,,
478a63e7,,C Campher,,,,,
1e25b5bf,C Carter,C Carter,,,,,
0d51e658,Christopher Barnwell,CD Barnwell,,N/A,06 January 1987,0,West Indian
87b177e8,CD Collymore,CD Collymore,,,,,
e6d298e8,CD de Lange,CD de Lange,,,,,
94d7f855,Colin de Grandhomme,C de Grandhomme,,Batting Allrounder,22 July 1986,25,New Zealander
10435ca2,,CDJ Dent,,,,,
f5390243,CD McMillan,CD McMillan,,,,,
6f049d41,CD Nash,CD Nash,,,,,
7b5c6c0b,CD Wallace,CD Wallace,,,,,
f25cebec,C Fortuin,C Fortuin,,,,,
aa1210d8,,CF Parkinson,,,,,
f655d740,CG Harrison,CG Harrison,,,,,
eaa76d3c,,C Green,,,,,
9c3fd257,Charana Nanayakkara,Charana Nanayakkara,,,,,
deb9b8cc,,Chayank Gosain,,,,,
9d450c28,C Hemraj,C Hemraj,,,,,
db584dad,Chris Gayle,CH Gayle,2009,All-rounder,21 September 1979,142,West Indian
6176f240,Chirag Suri,Chirag Suri,,,,,
fb66ce1f,Chris Morris,CH Morris,2013,All-rounder,30 April 1987,81,South African
4d84ad05,CJA Amini,CJA Amini,,,,,
8abdf100,Corey Anderson,CJ Anderson,,All-rounder,13 December 1990,30,New Zealander
51a60c16,CJ Boyce,CJ Boyce,,,,,
f32dbc84,Aarya Desai,CJ Chibhabha,,Batsman,03 April 2003,0,Indian
1cb14aa4,Junior Dala,CJ Dala,,N/A,29 December 1989,1,South African
9b4935c8,Callum Ferguson,CJ Ferguson,,N/A,21 November 1984,9,Australian
19b9f399,Chris Green,CJ Green,,Bowling All-Rounder,01 October 1993,1,South African
9395f98e,,CJ Haggett,,,,,
ffe699c0,Chris Jordan,CJ Jordan,2016,Bowler,04 October 1988,34,English
d8360178,CJL Rogers,CJL Rogers,,,,,
94eac556,Clint McKay,CJ McKay,2012,Bowler,22 February 1983,2,Australian
d58fdb42,CJ Metcalfe,CJ Metcalfe,,,,,
a21ea40c,CK Coventry,CK Coventry,,,,,
f7c3d426,CK Holder,CK Holder,,,,,
1e960f2a,C Kieswetter,C Kieswetter,,,,,
cfad138c,Chamara Kapugedera,CK Kapugedera,,N/A,24 February 1987,5,Sri Lankan
d1c94b25,Charl Langeveldt,CK Langeveldt,2009,Bowler,17 December 1974,7,South African
46966c2b,,CK Leopard,,,,,
f6571355,CK Tshuma,CK Tshuma,,,,,
4d4605e6,CL Tryon,CL Tryon,,,,,
d0513f63,Cameron White,CL White,2008,Batter,18 August 1983,47,Australian
60e11a00,CMA Shillington,CMA Shillington,,,,,
d4188b60,,CM Edwards,,,,,
30a2649b,Chidhambaram Gautam,CM Gautam,2012,Wicketkeeper Batter,08 March 1986,13,Indian
af2c687b,Colin Munro,C Munro,2015,Batter,11 March 1987,13,New Zealander
e734d090,CN Ackermann,CN Ackermann,,,,,
56418eae,CNIM Joyce,CNIM Joyce,,,,,
639000b6,CN Nation,CN Nation,,,,,
1928197a,C Olivier,C Olivier,,,,,
5680f1ad,CO Obuya,CO Obuya,,,,,
e9987a94,C Overton,C Overton,,,,,
96824e68,CP Tremain,CP Tremain,,,,,
1cfac535,,CP Wood,,,,,
28aba384,C Raack,C Raack,,,,,
e342e5fb,Carlos Brathwaite,CR Brathwaite,,All-rounder,18 July 1988,16,West Indian
342d8ade,Dilhara Fernando,CRD Fernando,,N/A,19 July 1979,10,Sri Lankan
c96311d4,,CR Ervine,,,,,
bff0535a,CR Seneviratna,CR Seneviratna,,,,,
4c5d73db,Chris Woakes,CR Woakes,2017,All-rounder,02 March 1989,21,English
2cdce1be,Chetan Sakariya,C Sakariya,2021,Bowler,28 February 1998,19,Indian
afa78c3a,Cameron Delport,CS Delport,,N/A,12 May 1989,0,South African
fb9a8cc3,CS Fraser,CS Fraser,,,,,
9c376401,,CS MacLeod,,,,,
05e0fab5,CS Martin,CS Martin,,,,,
f6ddfe08,C Sutthiruang,C Sutthiruang,,,,,
399b0b94,CT Bancroft,CT Bancroft,,,,,
28496266,CT Mumba,CT Mumba,,,,,
26f12506,CT Mutombodzi,CT Mutombodzi,,,,,
a72b14ff,CT Tremlett,CT Tremlett,,,,,
575ab3ce,CU Jayasinghe,CU Jayasinghe,,,,,
7b5b6311,CV Milind,CV Milind,,N/A,04 September 1994,0,Indian
5b7ab5a9,Varun Chakaravarthy,CV Varun,2019,Bowler,29 August 1991,71,Indian
3e51db81,C Zhuwao,C Zhuwao,,,,,
03df7a25,DA Douthwaite,DA Douthwaite,,,,,
1f572ee8,,DA Griffiths,,,,,
2e9fdf9b,Doug Bracewell,DAJ Bracewell,2012,Bowler,28 September 1990,1,New Zealander
d67d5f00,David Miller,DA Miller,2012,Batter,10 June 1989,130,South African
49212b50,DA Minors,DA Minors,,,,,
c1805d15,Damitha Silva,Damitha Silva,,,,,
a4799701,Danish Aziz,Danish Aziz,,,,,
0be1b885,Danish Kaneria,Danish Kaneria,,,,,
6c79c098,,DA Payne,,,,,
770494eb,Asela Gunaratne,DAS Gunaratne,,N/A,08 January 1986,0,Sri Lankan
dcce6f09,David Warner,DA Warner,2009,Batter,27 October 1986,184,Australian
1fba2ae3,Dawlat Zadran,Dawlat Zadran,,,,,
47c449c5,Dayyaan Galiem,Dayyaan Galiem,,,,,
7050a1e7,Debabrata Das,DB Das,2008,Batter,22 September 1986,31,Indian
7a80ddf2,D Bishoo,D Bishoo,,,,,
83904270,,DBL Powell,,,,,
b720a5d6,Dwaraka Ravi Teja,DB Ravi Teja,2008,Batter,05 September 1987,32,Indian
201fef33,Deepti Sharma,DB Sharma,,N/A,24 August 1997,0,Indian
359e430a,DCC Borden,DCC Borden,,,,,
bf573bfd,DC de Boorder,DC de Boorder,,,,,
08a4f9ad,DC Thomas,DC Thomas,,,,,
58dc96cc,D Devnarain,D Devnarain,,,,,
45c2196c,Doug Bollinger,DE Bollinger,2010,Bowler,24 July 1981,27,Australian
0d37dea9,DE Budge,DE Budge,,,,,
33085ffb,D Elgar,D Elgar,,,,,
a1b69936,DG Bedingham,DG Bedingham,,,,,
22bd731a,DG Brownlie,DG Brownlie,,,,,
06434563,DH Bruwer,DH Bruwer,,,,,
1d6ff329,Dayalan Hemalatha,D Hemalatha,,N/A,29 September 1994,0,Indian
063b3673,Dishant Yagnik,DH Yagnik,2011,Wicketkeeper Batter,22 June 1983,25,Indian
a51e6c6e,,Diana Baig,,,,,
bca21d18,DI Stevens,DI Stevens,,,,,
71e6ad2b,DJ Balcombe,DJ Balcombe,,,,,
8f938a32,DJ Bell-Drummond,DJ Bell-Drummond,,,,,
87e562a9,Dwayne Bravo,DJ Bravo,2008,All-rounder,07 October 1983,161,West Indian
c03c6200,Darren Sammy,DJG Sammy,,All-rounder,20 December 1983,0,West Indian
39f82db3,Daniel Harris,DJ Harris,,N/A,31 December 1975,4,Australian
73ad96ed,Deepak Hooda,DJ Hooda,2015,Bowling All-rounder,19 April 1995,118,Indian
fd835ab3,David Hussey,DJ Hussey,2008,All-rounder,15 July 1977,64,Australian
